IA_Name,Common_Name,CAS,CSID,Compound_Class,Log_P,Vapor_Pressure,Vapor_Pressure_At,FooDB_Odors,FooDB_Odor_Family
"Farnesol<2Z,6E->",Farnesol,106-28-5,3210,NA,5.31,0.0,25°C,"muguet, clove, anise, balsam, orange, grapefruit, pear, mild, floral, sweet, lily, waxy, mild, fresh, sweet, linden, floral, angelica","herbaceous, balsamic, citrus, fruity, floral"
"Farnesol<2Z,6E->",Farnesol,106-28-5,3210,NA,5.31,0.0,25°C,"muguet, clove, anise, balsam, orange, grapefruit, pear, mild, floral, sweet, lily, waxy, mild, fresh, sweet, linden, floral, angelica","herbaceous, balsamic, citrus, fruity, floral"
129,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tetradecanoic acid,Myristic acid,544-63-8,10539,Long-chain fatty acids,6.09,0.0,25°C,"waxy, fatty, soapy, coconut","fatty, soapy, fruity"
"3,5-di-tert-Butyl-4-hydroxybenzaldehyde","3,5-di-tert-butyl-4-hydroxybenzaldehyde",1620-98-0,65974,NA,4.77,0.0,25°C,NA,NA
Benzyl benzoate,Benzyl benzoate,120-51-4,13856959,Benzoic acid esters,3.97,0.0,25°C,"balsamic, oil, herb, cheese, cherry, pineapple, strawberry, almond, faint, sweet, balsam, oily, herbal","fatty, fruity, nutty, balsamic"
Anthracene,Anthracene,120-12-7,8111,NA,4.68,0.0,25°C,NA,NA
Octadecane (C18),Octadecane,593-45-3,11145,NA,10.32,0.0,25°C,alkane,NA
73,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salicylate<2-ethylhexyl->,octisalate,118-60-5,8061,NA,5.77,0.0,25°C,NA,NA
Isopropyl tetradecanoate,Isopropyl myristate,110-27-0,7751,Fatty acid esters,7.43,0.0,25°C,"cinnamon, faint, oily, fatty","balsamic, fatty"
"2-Pentadecanone, 6,10,14-trimethyl-1","6,10,14-Trimethyl-2-pentadecanone",502-69-2,9979,NA,7.26,0.0,25°C,"fat, oily, herbal, jasmin, celery, woody","fatty, vegetable, woody"
70,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ethanone, 2,2-dimethoxy-1,2-diphenyl-",DMPA,24650-42-8,81777,NA,4.76,0.0,25°C,NA,NA
145,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hexadecanol<N->,Hexadecan-1-ol,36653-82-4,2581,Long-chain fatty alcohols,7.25,0.0,25°C,"wax, flower, waxy, floral",floral
Homomenthyl salicylate,"3,3,5-Trimethylcyclohexyl salicylate",52253-93-7,21428153,NA,5.82,0.0,25°C,NA,NA
Nonadecane (C19),Nonadecane,629-92-5,11895,NA,10.85,0.0,25°C,"alkane, bland",NA
Methyl hexadecanoate,Methyl palmitate,112-39-0,7889,NA,7.62,0.0,25°C,"oily, waxy, fatty",fatty
Isopropyl hexadecanoate,Isopropyl palmitate,142-91-6,8567,NA,8.49,0.0,25°C,"fat, bland, oily",fatty
"10,18-Bisnorabieta-8,11,13-triene",NA,32624-67-2,NA,NA,NA,NA,NA,NA,NA
"Geranyl linalool<E,E->","3,7,11,15-Tetramethyl-1,6,10,14-hexadecatetraen-3-ol",1113-21-9,83828,NA,7.35,0.0,25°C,NA,NA
Manool,"3-Methyl-5-(5,5,8a-trimethyl-2-methylenedecahydro-1-naphthalenyl)-1-penten-3-ol",596-85-0,208603,NA,7.19,0.0,25°C,NA,NA
Octadecanol<N->,Octadecan-1-ol,112-92-5,7928,Long-chain fatty alcohols,8.31,0.0,25°C,"oil, bland",NA
"9,12-Octadecadienoic acid, methyl ester","Methyl 9,12-octadecadienoate",2462-85-3,7911,NA,7.64,0.0,25°C,NA,NA
